CLA_PERDED	CLA_EMPRESA	CLA_GPO_EXPERDED	NOM_PERDED	TIPO_PERDED	STATUS	CLASIFICACION	FORMULA	EXENCION	TOPE_EXEN	TOPE	EXEN_IMSS	APLICA	ESBASE_IMSS	ESBASE_NOMINA	ESBASE_INFON	ESBASE_PTU	TRATA_FISCAL	NOM_NOR	NOM_AGUI	NOM_PTU	NOM_FIN	NOM_ESP	NOM_VAC	ALTERNAR	FORMULA_SQL	EXENCION_SQL	TOPE_EXEN_SQL	TOPE_SQL	EXEN_IMSS_SQL	ORDEN	APLICA_TODO_PUE	APLICA_TODA_UBI	APLICA_TODO_PER	IMPRIME_UNIDAD	TEXTO_UNIDAD	PERMITE_NEGATIVOS	PERMITE_CEROS	AVANZADO_WHERE_SQL	ES_EXTERNO	FUENTE_EXTERNA	TRUNCAR	REDONDEO	DECIMALES	NO_IMPRIMIR	NO_AFECTAR_NETO	GRUPO_CAL1	GRUPO_CAL2	GRUPO_CAL3	GRUPO_CAL4	ES_NETO	FECHA_ULT_CAMBIO	LLEVA_HISTO	ESBASE_ISPT	CLA_PERDED_ACUM	ES_BASE_FAHORRO	DETALLAR_PERDED	MOSTRAR_SALDO	LLEVA_ACUM	NOM_CORTO	ESBASE_IMSS_FIJO	DIAS_FIJO	EVA_MASIVA	ES_PROVISION	CLASIF_DEC_SUELDOS	PREVISION_SOCIAL	CLA_GPO_EXCLUSION	TOPE_EXCLUSION	TOPE_EXCLUSION_SQL	EXCLUSION_SQL	EXCLUSION	SALDAR_EN_FIQ	FOR_MONTO	FOR_MONTO_SQL	CALC_ISR_PARCIAL	APLICA_RETROACTIVO	CLA_PERDED_RETROACTIVO	WHERE_SQL_RETRO	FORMULA_SQL_RETRO	TOPE_SQL_RETRO	TIPO_CALC_RETRO	CLA_PERDED_RETRO_NEG	REDONDEO_MONTO	DECIMALES_MONTO	PORC_INCREM_PROMO	NO_APLICAR_PROYECCION	APLICA_SALDO_VALES	CEILING	TIPO_PERDED_FORTIA	TIPO_PERDED_SAT	CONSERVAR_MOV	DEDUCCION_GRAVADA	EN_ESPECIE	CLA_METODO_PAGO	TIPO_HORA_EXTRA_SAT	TIPO_OTRO_PAGO_SAT	ORIGEN_RECURSO_SAT
91	4	0	PERSONAL QUE DOBLA TURNO      	10	A	0	@C1043 + @C1031 +  @C1001 + @C1151 +  @C1161  + @C1171					I	1	0	0	0	1	1	0	0	0	0	0	0	@C1043+@C1031+@C1001+@C1151+@C1161+@C1171					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	23/11/2013 12:04	1	1	0	0	1	0	0	PDLTR	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
92	4	0	DOS CATEGORIAS EN MISMO TURNO 	10	A	0	1					I	0	0	0	0	1	1	0	0	1	0	0	0	1					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	23/11/2013 12:05	1	0	0	0	0	0	0	CNT2C	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
93	4	0	AJUSTE ISR                    	10	A	0	1					I	0	0	0	0	1	1	0	0	1	0	0	0	1					9991	0	1	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	12/04/2017 09:49	1	0	0	0	0	0	0	AJUST	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	38	0	0	0	3	NULL	NULL	1
94	4	0	CONTRATOS FCA.                	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	23/11/2013 12:05	1	0	0	0	0	0	0	CNTFC	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
95	4	0	AJUST  SAL Y PREST MAN. (95)  	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	20/01/2012 17:42	1	0	0	0	0	0	0	AJUST	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
96	4	0	PAGO ASEADOR X CAT CON PRIMAS 	10	A	0	#PEONPRIMA					T	0	0	0	0	1	1	0	0	0	0	0	0	"dbo.spf_PagoPeonCatConPrimas(T1.CLA_EMPRESA,T1.CLA_TRAB,T1.FOLIO_NOM,T1.FECHA_APLICA)"					16	0	0	0	0		0	0	AND T1.CLA_DEPTO = 8	0	NULL	0	0	0	1	1	0	0	100	0	0	26/10/2011 13:40	1	0	0	0	1	0	0	PPCP 	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
97	4	0	AJUST DE SAL Y PREST CTTO (95)	10	A	0	@C0096					T	0	0	0	0	1	1	0	0	0	0	0	0	@C0096					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	21/01/2012 20:18	1	0	0	0	1	0	0	AJUST	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
98	4	0	CONTRATO 3.5 DIAS COMISIONADOS	10	A	0	VALGEN01D * 3.5					T	0	0	0	0	2	1	0	0	1	0	0	0	t1.VALGEN01*3.5					50	0	0	0	1	3.5 DIAS	0	0	"AND DBO.SPF_CTRCOMISION3_5 (T1.CLA_EMPRESA,T1.CLA_TRAB,T1.FOLIO_NOM,T2.FECHA_INI_CALC,T2.FECHA_FIN_CALC) = 1"	0	NULL	0	0	0	1	1	0	0	100	0	0	17/11/2011 11:29	1	0	0	0	0	0	0	DIACO	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
99	4	0	CONTRATO PARA EL 60% SAB.TRAB.	10	A	0	@C1120 * #PAG60%SAB					T	0	0	0	0	1	1	0	0	1	0	0	0	"@C1120*dbo.fn_Calcula_60_SabTrab(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.FECHA_INI_CALC,FECHA_FIN_CALC)"					50	0	0	0	1	60%	0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	18/11/2011 14:40	1	0	0	0	0	0	0	CTR60	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
100	4	0	COMISION SINDICAL CTTO(90)    	10	A	0	@C0098					T	0	0	0	0	1	1	0	0	1	0	0	0	@C0098					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	23/01/2012 11:56	1	0	0	0	0	0	0	COMSD	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
101	4	0	PENSION JUBILATORIA           	10	A	0	1	IMP_MOV				I	0	0	0	0	4	1	0	0	1	0	0	0	1	t1.EVA_FOR_SQL				1	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 00:26	1	1	0	0	1	0	1	PENSI	0	0	1	0	28	1	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	39	0	0	0	3	NULL	NULL	1
