CLA_PERDED	CLA_EMPRESA	CLA_GPO_EXPERDED	NOM_PERDED	TIPO_PERDED	STATUS	CLASIFICACION	FORMULA	EXENCION	TOPE_EXEN	TOPE	EXEN_IMSS	APLICA	ESBASE_IMSS	ESBASE_NOMINA	ESBASE_INFON	ESBASE_PTU	TRATA_FISCAL	NOM_NOR	NOM_AGUI	NOM_PTU	NOM_FIN	NOM_ESP	NOM_VAC	ALTERNAR	FORMULA_SQL	EXENCION_SQL	TOPE_EXEN_SQL	TOPE_SQL	EXEN_IMSS_SQL	ORDEN	APLICA_TODO_PUE	APLICA_TODA_UBI	APLICA_TODO_PER	IMPRIME_UNIDAD	TEXTO_UNIDAD	PERMITE_NEGATIVOS	PERMITE_CEROS	AVANZADO_WHERE_SQL	ES_EXTERNO	FUENTE_EXTERNA	TRUNCAR	REDONDEO	DECIMALES	NO_IMPRIMIR	NO_AFECTAR_NETO	GRUPO_CAL1	GRUPO_CAL2	GRUPO_CAL3	GRUPO_CAL4	ES_NETO	FECHA_ULT_CAMBIO	LLEVA_HISTO	ESBASE_ISPT	CLA_PERDED_ACUM	ES_BASE_FAHORRO	DETALLAR_PERDED	MOSTRAR_SALDO	LLEVA_ACUM	NOM_CORTO	ESBASE_IMSS_FIJO	DIAS_FIJO	EVA_MASIVA	ES_PROVISION	CLASIF_DEC_SUELDOS	PREVISION_SOCIAL	CLA_GPO_EXCLUSION	TOPE_EXCLUSION	TOPE_EXCLUSION_SQL	EXCLUSION_SQL	EXCLUSION	SALDAR_EN_FIQ	FOR_MONTO	FOR_MONTO_SQL	CALC_ISR_PARCIAL	APLICA_RETROACTIVO	CLA_PERDED_RETROACTIVO	WHERE_SQL_RETRO	FORMULA_SQL_RETRO	TOPE_SQL_RETRO	TIPO_CALC_RETRO	CLA_PERDED_RETRO_NEG	REDONDEO_MONTO	DECIMALES_MONTO	PORC_INCREM_PROMO	NO_APLICAR_PROYECCION	APLICA_SALDO_VALES	CEILING	TIPO_PERDED_FORTIA	TIPO_PERDED_SAT	CONSERVAR_MOV	DEDUCCION_GRAVADA	EN_ESPECIE	CLA_METODO_PAGO	TIPO_HORA_EXTRA_SAT	TIPO_OTRO_PAGO_SAT	ORIGEN_RECURSO_SAT
468	4	0	PRESTAMO SINDICATO            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4680	0	1	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/03/2015 14:31	1	0	0	0	0	0	0	ps   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
470	4	0	ABONO INFONAVIT               	50	A	25	@C2147+ @C2146+ @C2149+ @C2148		NULL		NULL	T	0	0	0	0	1	1	0	0	0	1	0	0	@C2147+@C2146+@C2149+@C2148					150	0	1	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	100	0	0	10/08/2016 17:08	1	0	0	0	0	0	0	ABINF	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	10	0	NULL	NULL	NULL	NULL	NULL	NULL
471	4	0	DESC SINDICAL                 	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4659	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/03/2017 17:42	1	0	0	0	1	0	0	D SIN	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	0	0		NULL	NULL	0
474	4	0	DESCUENTO PROMOBIEN           	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4740	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:12	1	0	0	0	0	0	0	P    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
476	4	0	SEGURO INFONAVIT              	50	A	20	1		NULL		NULL	I	0	0	0	0	1	1	0	0	0	0	0	0	1					150	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:54	1	0	0	0	0	0	0	AJINF	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	10	0	0	0		NULL	NULL	0
482	4	0	PRESTAMO FONDO AHORRO         	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	1	0	0	1					4130	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	08/01/2015 15:25	1	0	0	0	0	0	0	a    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
483	4	0	AYUDA MUTUA                   	50	A	20	#AYUDADEF		NULL		NULL	S	0	0	0	0	0	1	0	0	0	0	0	0	"dbo.ffn_AYUDA_MUTUA (t2.CLA_EMPRESA,t2.cla_trab, t2.dias_lab_per)"					190	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	18/01/2017 14:55	1	0	0	0	0	0	0	A S D	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
486	4	0	FDO SOLID PROT FAM            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	1	0	0	0	0	1					4860	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:18	1	0	0	0	0	0	0	F    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
491	4	0	ACT.DEP.Y CULTURALES          	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4910	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:20	1	0	0	0	0	0	0	as   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
495	4	0	DESC ACUERDO ASAMBLEA         	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4950	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:22	1	0	0	0	0	0	0	D A A	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL
498	4	0	RENTA DE CASA                 	50	A	20	1		NULL		NULL	I	0	0	0	0	1	1	0	0	0	1	0	0	1					180	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	100	20	0	16/03/2017 11:57	1	0	0	0	0	0	0	RCASA	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	NULL	0	0		NULL	NULL	NULL
499	4	0	AHORRO SECCION 7              	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	0	0	1					4990	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	10/04/2017 08:53	1	0	0	0	0	0	0	A    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
500	4	0	DESCTO.CAJA AHORRO            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5000	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:27	1	0	0	0	0	0	0	DES  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
502	4	0	OBRAS SOCIALES                	50	B	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5020	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:28	1	0	0	0	0	0	0	OBRA 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
503	4	0	OBRAS SOCIALES SIND.          	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5030	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:29	1	0	0	0	0	0	0	OSIN 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
504	4	0	DESC.SIND.                    	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5040	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/10/2012 13:13	1	0	0	0	1	0	0	DES  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
507	4	0	AJUSTE I.S.P.T.               	50	A	20	(-1)		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	0	0	(-1)					140	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 04:10	1	0	0	0	0	0	0	AJUST	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	2	0	0	0		NULL	NULL	0
508	4	0	ISR COMPENSAR Ejercicio Ant   	50	A	20	@C0509*(-1)		NULL		NULL	T	0	0	0	0	0	1	0	0	0	0	0	0	@C0509*(-1)					140	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	19/06/2014 09:18	1	0	0	0	0	0	0	ISCEA	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
509	4	0	ISR COMPENSAR Ej. ant. NO IMPR	50	A	20	1		NULL	@C0403	NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1			@C0403		130	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	0	0	0	19/06/2014 09:07	1	0	0	0	0	0	0	ICA  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
510	4	0	DEUDORES DIVERSOS             	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5100	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 19:25	1	0	0	0	0	0	0	DEUDO	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
511	4	0	AHORRO CAJA CONFIANZA         	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4660	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 09:31	1	0	0	0	0	0	0	apo  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
512	4	0	PMO CAJA SECC.7               	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	0	0	1					4690	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/07/2014 08:38	1	0	0	0	0	0	0	des  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
513	4	0	PMO CAJA CONFIANZA            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	1	0	1					4670	0	1	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	27/06/2014 09:48	1	0	0	0	0	0	0	des  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
514	4	0	FINANCIERA MENOS PAGOS        	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5125	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	26/11/2015 17:49	1	0	0	0	0	0	0	FINAN	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
515	4	0	CAJA POPULAR                  	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					5126	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	25/05/2016 09:40	1	0	0	0	0	0	0	CPOP 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
614	4	0	FINANCIERA MENOS PAGOS        	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	0	1	0	1					5125	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	28/06/2016 09:08	1	0	0	0	0	0	0	FMP  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
615	4	0	CAJA POPULAR                  	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	0	1	0	1					5126	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	28/06/2016 09:08	1	0	0	0	0	0	0	CP   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
799	4	0	DIAS PEND. DE PAGO            	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					1	0	0	1	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	20/01/2012 18:33	1	0	0	0	0	0	0	     	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
903	4	0	BG MEDIA HORAS TURNO          	10	A	2	@C0003	#EXENDESC				T	0	0	0	0	1	1	0	0	0	0	0	0	@C0003	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				9	0	1	1	0		0	0		0	NULL	0	0	0	1	1	0	0	0	0	0	15/12/2016 11:12	1	1	0	0	0	0	0	     	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	3	NULL	NULL
904	4	0	BG MEDIA HORA ALIMENTOS       	10	A	2	@C0004	#EXENDESC				T	0	0	0	0	1	1	0	0	0	0	0	0	@C0004	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				11	0	1	1	0		0	0		0	NULL	0	0	0	1	1	0	0	0	0	0	22/12/2016 00:06	1	1	0	0	0	0	0	     	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	3	NULL	NULL
998	4	0	SDI VAC                       	10	A	0	SUE_F_DIA					T	0	0	0	0	1	1	1	1	1	1	1	0	t4.P_DIA					999	0	0	0	0		0	0	AND T4.TIPO_FALTA IN('Z')	0	NULL	0	0	0	1	1	0	0	100	0	0	22/02/2012 22:19	1	0	0	0	1	0	0	     	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
999	4	0	SDI EMP                       	10	B	0	1					T	0	0	0	0	1	0	0	0	0	1	0	0	1					999	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	30/10/2013 10:30	1	0	0	0	0	0	0	     	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1000	4	0	PERC. ORDINARIA SALARIOS      	10	B	1	#SUELDOCAT				VALGEN01D	T	0	1	0	1	1	1	0	1	0	0	1	0	"dbo.spf_SueldoTrab(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND,T1.REFERENCIA)"				t1.VALGEN01	2	0	0	0	1	Dias	0	0	"AND DBO.SPF_PAGASUELDO(T1.CLA_EMPRESA,T1.FOLIO_NOM,T1.CLA_TRAB,T4.FECHA_PAGO) = 1"	0	NULL	0	0	0	0	0	100	0	1	10	0	29/07/2011 14:07	1	1	0	0	1	0	0	PORDO	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
1001	4	0	PAGO CAT. X DOBLETE           	10	A	1	#PAGXDBLTE					T	0	0	0	0	1	1	0	0	0	0	0	0	"dbo.spf_SueldoTrab_Doblete(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND)"					5	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	1	100	0	0	19/01/2012 11:21	1	0	0	0	1	0	0	CTGDB	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1003	4	0	ASISTENCIA DESTAJO            	10	A	0	1					I	0	0	0	1	1	1	1	1	0	1	0	0	1					1	0	0	0	1		0	0		0	NULL	0	0	0	1	1	1	0	100	60	0	22/11/2013 12:32	1	0	0	0	1	0	1	     	1	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
1010	4	0	PERC. ORDINARIA SALARIOS*     	10	B	0	#SUELDOCAT					T	0	1	0	1	1	1	0	1	0	0	1	0	"dbo.spf_SueldoTrab(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND,T1.REFERENCIA)"					1	0	0	0	1	Dias	0	0	"AND DBO.SPF_PAGASUELDO(T1.CLA_EMPRESA,T1.FOLIO_NOM,T1.CLA_TRAB,T4.FECHA_PAGO) = 1"	0	NULL	0	0	0	0	0	100	0	1	0	0	29/07/2011 14:31	1	1	0	0	1	0	0	PORDO	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
1013	4	0	ART 98 C. LEY  S Y            	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					6	0	0	0	0		0	1		0	NULL	0	0	0	1	1	0	0	0	0	0	31/10/2012 10:24	1	0	0	0	1	0	0	ART 9	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1014	4	0	ART 98 FES                    	10	A	0	#SUELDOCIA/4					I	0	0	0	0	1	1	0	0	0	0	0	0	"dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)/4"					6	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	0	0	0	24/10/2012 10:11	1	0	0	0	0	0	0	ART  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1015	4	0	ART 98 VAL                    	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					6	0	0	0	0		1	0		0	NULL	0	0	0	1	1	0	0	0	0	0	31/10/2012 11:34	1	0	0	0	1	0	0	ART 9	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1020	4	0	6TO. Y 7MO. DIA PASO          	10	a	1	(#SEXTSEPT +  @C1082 + @C1081 +  @C1000 +  @C1010 + @C1080)/ DIAS_LABS7					T	0	1	0	0	1	1	0	0	1	0	0	0	"(dbo.spf_SexSepDia(T1.CLA_EMPRESA,T1.CLA_TRAB,T2.FECHA_INI_CALC,T2.FECHA_FIN_CALC,T1.FOLIO_NOM)+@C1082+@C1081+@C1000+@C1010+@C1080)/(t2.DIAS_LAB_CALC - t2.SEP_DIA_CALC)"					70	0	0	0	1	Dias	0	0	AND T2.DIAS_LAB_CALC > T2.SEP_DIA_CALC	0	NULL	0	0	0	1	1	0	0	100	0	0	05/08/2011 19:26	1	0	0	0	0	0	0	SYSMO	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1021	4	0	6TO. Y 7MO. DIA               	10	A	1	@C1020  * #TABLA7DIA					T	0	0	0	0	1	1	0	0	0	0	0	0	"@C1020*dbo.spf_TablaSeptimoDia(t2.CLA_EMPRESA,t2.DIAS_LAB_TMP,T2.FECHA_INI_CALC,T2.FECHA_FIN_CALC)"					71	0	0	0	1	Dias	0	0		0	NULL	0	0	0	0	0	0	0	2	0	0	08/08/2011 18:41	1	1	0	0	0	0	0	6Y7PG	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1030	4	0	TIEMPO DE ALIMENTOS           	10	A	1	#SUELDOCAT					T	0	1	0	0	1	1	0	0	0	0	1	0	"dbo.spf_SueldoTrab(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND,T1.REFERENCIA)"					4	0	0	0	1	Dias	0	0		0	NULL	0	0	0	0	0	3	0	5	0	0	11/07/2011 12:47	1	1	0	0	1	0	0	TALIM	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1031	4	0	ALIMENTOS X DOBLETE           	10	A	0	#PAGXDBLTE					T	0	0	0	0	1	1	0	0	0	0	0	0	"dbo.spf_SueldoTrab_Doblete(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND)"					5	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	3	100	0	0	17/01/2012 17:59	1	0	0	0	1	0	0	ALIDB	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1040	4	0	ROTACION DE TURNO DETALLADO   	10	A	2	(#VALORCAT/(#HRJOR)) * 2					T	0	1	0	0	1	1	0	0	0	0	0	0	"(dbo.spf_SueldoCat(T1.CLA_EMPRESA,T1.CLA_TAB_SUE,T1.NIV_TAB_SUE,T1.FECHA_APLICA)/(dbo.Hrs_Jor(T1.CLA_EMPRESA,T1.CLA_TURNO)))*2"					3	0	0	0	1	HRS	0	0	"AND T1.CLA_TURNO IN (2,3)"	0	NULL	0	0	0	1	1	2	0	100	11	0	11/07/2011 11:32	1	0	0	0	1	0	0	TROTT	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0	#SUELDOCAT	"dbo.spf_SueldoTrab(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND,T1.REFERENCIA)"	0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL
1041	4	0	ROTACION DE TURNO             	10	A	2	@C1040	#EXENDESC			IMPNOINTHR	T	0	0	0	0	1	1	0	0	1	0	0	0	@C1040	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5)"			t1.EVA_IMSS_SQL	3	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	3	71	0	21/01/2012 13:13	1	1	0	0	0	0	0	ROTT 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL
1043	4	0	ROTACION X DOBLETE            	10	A	0	(#VALORCAT/(#HRJOR)) * 2					T	0	0	0	0	1	1	0	0	1	0	0	0	"(dbo.spf_SueldoCat(T1.CLA_EMPRESA,T1.CLA_TAB_SUE,T1.NIV_TAB_SUE,T1.FECHA_APLICA)/(dbo.Hrs_Jor(T1.CLA_EMPRESA,T1.CLA_TURNO)))*2"					5	0	0	0	1	HRS	0	0	"AND T1.CLA_TURNO IN (2,3)"	0	NULL	0	0	0	1	1	0	2	100	0	0	17/01/2012 15:28	1	0	0	0	1	0	0	ROTDB	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0	#PAGXDBLTE	"dbo.spf_SueldoTrab_Doblete(T2.CLA_EMPRESA,T2.CLA_TRAB,T2.NUM_NOMINA,T2.FOLIO_NOM,T1.CLA_PERDED,T1.FOL_AUTO,T2.CLA_PERIODO,T1.FECHA_APLICA,T2.SIND)"	0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
